Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,norm_Air temperature [K],norm_Process temperature [K],norm_Rotational speed [rpm],norm_Torque [Nm],norm_Tool wear [min]
0,0,0,0,0,0,0,0,1,0.30434782608695815,0.3580246913580279,0.2229336437718277,0.5357142857142857,0.0
0,0,0,0,0,0,0,1,0,0.31521739130434573,0.37037037037036935,0.13969732246798602,0.5837912087912088,0.011857707509881422
0,0,0,0,0,0,0,1,0,0.30434782608695815,0.34567901234567944,0.1920838183934808,0.6263736263736264,0.019762845849802372
0,0,0,0,0,0,0,1,0,0.31521739130434573,0.3580246913580279,0.15424912689173456,0.4903846153846154,0.02766798418972332
0,0,0,0,0,0,0,1,0,0.31521739130434573,0.37037037037036935,0.13969732246798602,0.4972527472527473,0.03557312252964427
0,0,0,0,0,0,0,0,1,0.30434782608695815,0.3580246913580279,0.14959254947613504,0.5233516483516484,0.043478260869565216
0,0,0,0,0,0,0,1,0,0.30434782608695815,0.3580246913580279,0.2270081490104773,0.5302197802197802,0.05533596837944664
0,0,0,0,0,0,0,1,0,0.30434782608695815,0.3580246913580279,0.2089639115250291,0.5000000000000001,0.06324110671936758
0,0,0,0,0,0,0,0,1,0.3260869565217395,0.37037037037036935,0.290454016298021,0.34065934065934067,0.07114624505928854
0,0,0,0,0,0,0,0,1,0.34782608695652095,0.40740740740740766,0.33352735739231665,0.3324175824175824,0.08300395256916997
0,0,0,0,0,0,1,0,0,0.33695652173912716,0.3950617283950592,0.3573923166472643,0.27609890109890106,0.09486166007905138
0,0,0,0,0,0,1,0,0,0.35869565217391475,0.4197530864197561,0.14842840512223515,0.5563186813186813,0.11462450592885376
0,0,0,0,0,0,0,0,1,0.35869565217391475,0.4197530864197561,0.09953434225844005,0.6497252747252749,0.13438735177865613
0,0,0,0,0,0,0,0,1,0.35869565217391475,0.4320987654320976,0.3341094295692666,0.3598901098901099,0.14624505928853754
0,0,0,0,0,0,0,1,0,0.35869565217391475,0.4320987654320976,0.5046565774155995,0.21703296703296704,0.15810276679841898
0,0,0,0,0,0,0,1,0,0.35869565217391475,0.4320987654320976,0.21769499417927823,0.6126373626373627,0.16600790513833993
0,0,0,0,0,0,0,0,1,0.35869565217391475,0.4320987654320976,0.08323632130384168,0.587912087912088,0.17391304347826086
0,0,0,0,0,0,0,0,1,0.3695652173913023,0.4320987654320976,0.1408614668218859,0.5741758241758242,0.1857707509881423
0,0,0,0,0,0,1,0,0,0.3804347826086961,0.4320987654320976,0.08032596041909197,0.6964285714285715,0.1976284584980237
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.44444444444444603,0.270081490104773,0.3942307692307692,0.21739130434782608
0,0,0,0,0,0,1,0,0,0.39130434782608375,0.44444444444444603,0.12048894062863795,0.5343406593406594,0.22924901185770752
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.44444444444444603,0.16414435389988358,0.5631868131868132,0.2490118577075099
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.44444444444444603,0.24039580908032596,0.3695054945054945,0.25691699604743085
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.45679012345678743,0.34342258440046564,0.3008241758241758,0.26877470355731226
0,0,0,0,0,0,0,0,1,0.40217391304347755,0.45679012345678743,0.22875436554132714,0.4601648351648352,0.2766798418972332
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.4691358024691359,0.4033760186263097,0.26785714285714285,0.2885375494071146
0,0,0,0,0,0,0,1,0,0.4130434782608713,0.4691358024691359,0.20023282887077998,0.4835164835164836,0.2964426877470356
0,0,0,0,0,0,1,0,0,0.4130434782608713,0.45679012345678743,0.3742724097788126,0.28571428571428575,0.30434782608695654
0,0,0,0,0,0,0,1,0,0.4130434782608713,0.45679012345678743,0.15774155995343422,0.5549450549450551,0.3241106719367589
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.45679012345678743,0.30558789289871946,0.3612637362637363,0.33201581027667987
0,0,0,0,0,0,0,0,1,0.4130434782608713,0.4691358024691359,0.09953434225844005,0.6098901098901099,0.33992094861660077
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.45679012345678743,0.36670547147846333,0.2980769230769231,0.35177865612648224
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.45679012345678743,0.14610011641443538,0.6112637362637363,0.35968379446640314
0,0,0,0,0,0,0,1,0,0.39130434782608375,0.44444444444444603,0.2892898719441211,0.3942307692307692,0.3675889328063241
0,0,0,0,0,0,0,0,1,0.3804347826086961,0.4197530864197561,0.22759022118742725,0.4244505494505495,0.37549407114624506
0,0,0,0,0,0,0,0,1,0.3804347826086961,0.4320987654320976,0.16530849825378346,0.6153846153846154,0.38735177865612647
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.4320987654320976,0.24039580908032596,0.45192307692307704,0.39920948616600793
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.15774155995343422,0.48626373626373637,0.41106719367588934
0,0,0,0,0,0,1,0,0,0.39130434782608375,0.4320987654320976,0.12281722933643772,0.6442307692307694,0.4189723320158103
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.10593713620488941,0.668956043956044,0.43873517786561267
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.11292200232828871,0.5714285714285715,0.44664031620553357
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.11641443538998836,0.6456043956043956,0.45454545454545453
0,0,0,0,0,0,0,0,1,0.3804347826086961,0.4197530864197561,0.11641443538998836,0.6222527472527474,0.4624505928853755
0,0,0,0,0,0,1,0,0,0.3804347826086961,0.4320987654320976,0.11874272409778813,0.614010989010989,0.4743083003952569
0,0,0,0,0,0,0,0,1,0.3804347826086961,0.4197530864197561,0.1769499417927823,0.6002747252747254,0.49407114624505927
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.18684516880093133,0.6222527472527474,0.5059288537549407
0,0,0,0,0,0,0,0,1,0.3695652173913023,0.40740740740740766,0.3928987194412107,0.30219780219780223,0.5138339920948617
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.14551804423748546,0.5837912087912088,0.525691699604743
0,0,0,0,0,0,1,0,0,0.3804347826086961,0.4320987654320976,0.14959254947613504,0.6881868131868132,0.5335968379446641
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.4320987654320976,0.1420256111757858,0.5535714285714286,0.5533596837944664
1,0,0,1,0,0,0,1,0,0.39130434782608375,0.4197530864197561,0.9854481955762514,0.010989010989010986,0.5652173913043478
0,0,0,0,0,0,0,1,0,0.39130434782608375,0.4197530864197561,0.12514551804423749,0.701923076923077,0.5731225296442688
0,0,0,0,0,0,1,0,0,0.3804347826086961,0.40740740740740766,0.19150174621653085,0.5494505494505495,0.5810276679841897
0,0,0,0,0,0,0,1,0,0.3695652173913023,0.40740740740740766,0.23108265424912688,0.42994505494505497,0.6007905138339921
0,0,0,0,0,0,0,1,0,0.3695652173913023,0.40740740740740766,0.3044237485448196,0.3612637362637363,0.6086956521739131
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.20023282887077998,0.506868131868132,0.616600790513834
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.179860302677532,0.5302197802197802,0.6245059288537549
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.20081490104772992,0.5013736263736264,0.6324110671936759
0,0,0,0,0,0,0,0,1,0.3804347826086961,0.40740740740740766,0.2869615832363213,0.35302197802197804,0.6403162055335968
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.12223515715948778,0.6950549450549451,0.6521739130434783
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.4197530864197561,0.1309662398137369,0.6703296703296704,0.6600790513833992
0,0,0,0,0,0,0,0,1,0.3804347826086961,0.40740740740740766,0.2467986030267753,0.4725274725274726,0.6679841897233202
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.40740740740740766,0.38474970896391153,0.2623626373626373,0.6798418972332015
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.40740740740740766,0.37485448195576254,0.30357142857142855,0.6877470355731226
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.4197530864197561,0.20663562281722933,0.4780219780219781,0.6996047430830039
0,0,0,0,0,0,0,1,0,0.40217391304347755,0.4197530864197561,0.13154831199068684,0.5673076923076924,0.7075098814229249
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.3950617283950592,0.29743888242142025,0.34203296703296704,0.7154150197628458
0,0,0,0,0,0,1,0,0,0.3804347826086961,0.3950617283950592,0.17345750873108265,0.5535714285714286,0.7272727272727273
0,0,0,0,0,0,0,1,0,0.3804347826086961,0.3950617283950592,0.2089639115250291,0.39285714285714285,0.7470355731225297
1,0,0,1,1,0,0,1,0,0.39130434782608375,0.40740740740740766,0.1408614668218859,0.8502747252747254,0.7549407114624506
0,0,0,0,0,0,0,0,1,0.39130434782608375,0.40740740740740766,0.440046565774156,0.25824175824175827,0.7628458498023716
